date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:37:14	128472/128472	------	200	untouched ('OK')	text/html	date:Sat,%2001%20Jul%202023%2022:07:38%20GMT	https://www.pwc.fr/	C:/Mes%20Sites%20Web/pw/www.pwc.fr/index.html	(from )
23:37:14	2464/2464	------	200	untouched ('OK')	text/plain	date:Wed,%2029%20Mar%202023%2006:23:51%20GMT	https://www.pwc.fr/robots.txt		(from )
23:37:14	8748/8748	------	404	error ('Not%20Found')	text/html	etag:%220e1be9b5331c1b6167bf6b00e0b35c38:1686234374.28745%22	https://www.pwc.fr/content/pwc/fr/fr.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/content/pwc/fr/fr.7.delayed	(from https://www.pwc.fr/)
23:37:14	1406/1406	------	200	untouched ('')	image/vnd.microsoft.icon	date:Sat,%2022%20Aug%202020%2003:59:49%20GMT	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/css_common/resources/image/favicon.ico	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/css_common/resources/image/favicon.ico	(from https://www.pwc.fr/)
23:37:14	113763/113763	------	200	untouched ('')	application/javascript	etag:%221bc63-5ff6758dbe39e-gzip%22	https://www.pwc.fr/etc.clientlibs/clientlibs/granite/jquery.min.f65891607efbe75b84a8031849cec6c7.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/clientlibs/granite/jquery.min.f65891607efbe75b84a8031849cec6c7.js	(from https://www.pwc.fr/)
23:37:14	9901/9901	------	200	untouched ('')	application/javascript	etag:%2226ad-5ff675826fc41-gzip%22	https://www.pwc.fr/etc.clientlibs/clientlibs/granite/utils.min.308082b4c347f4fec37ffef277d39d0e.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/clientlibs/granite/utils.min.308082b4c347f4fec37ffef277d39d0e.js	(from https://www.pwc.fr/)
23:37:14	3984/3984	------	200	untouched ('')	application/javascript	etag:%22f90-5ff67593de5a8-gzip%22	https://www.pwc.fr/etc.clientlibs/clientlibs/granite/jquery/granite.min.d9075d4175ab7b0e3ccf4305a4089645.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/clientlibs/granite/jquery/granite.min.d9075d4175ab7b0e3ccf4305a4089645.js	(from https://www.pwc.fr/)
23:37:14	8705/8705	------	404	error ('Not%20Found')	text/html	etag:%220e1be9b5331c1b6167bf6b00e0b35c38:1686234374.28745%22	https://www.pwc.fr/ak.m	C:/Mes%20Sites%20Web/pw/www.pwc.fr/ak.f.delayed	(from https://www.pwc.fr/)
23:37:14	16/16	------	200	untouched ('')	application/javascript	etag:%2210-5ff67592068f3%22	https://www.pwc.fr/etc.clientlibs/foundation/clientlibs/jquery.min.dd9b395c741ce2784096e26619e14910.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/foundation/clientlibs/jquery.min.dd9b395c741ce2784096e26619e14910.js	(from https://www.pwc.fr/)
23:37:14	2808/2808	------	200	untouched ('')	application/javascript	etag:%22af8-5ff67593eef49-gzip%22	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/components-digitaldataanalytics.min.594e86bc3088dca581ea8df9b0eafa46.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/components-digitaldataanalytics.min.594e86bc3088dca581ea8df9b0eafa46.js	(from https://www.pwc.fr/)
23:37:14	622/622	------	200	untouched ('')	image/png	etag:W/%22313-5ff6757e977b7%22	https://www.pwc.fr/content/pwc/script/network/apple-touch-icon.png	C:/Mes%20Sites%20Web/pw/www.pwc.fr/content/pwc/script/network/apple-touch-icon.png	(from https://www.pwc.fr/)
23:37:14	24190/24190	------	200	untouched ('')	application/javascript	etag:%225e7e-5ff678c6bb5a7-gzip%22	https://www.pwc.fr/etc.clientlibs/foundation/clientlibs/shared.min.d8eee0685f08a5253a1d753a2619a08f.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/foundation/clientlibs/shared.min.d8eee0685f08a5253a1d753a2619a08f.js	(from https://www.pwc.fr/)
23:37:14	8705/8705	------	404	error ('Not%20Found')	text/html	etag:%220e1be9b5331c1b6167bf6b00e0b35c38:1686234374.28745%22	https://www.pwc.fr/ak.t	C:/Mes%20Sites%20Web/pw/www.pwc.fr/ak.10.delayed	(from https://www.pwc.fr/)
23:37:14	21565/21565	------	200	untouched ('')	application/javascript	etag:0x8DB78D6F96BC8B6	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Mes%20Sites%20Web/pw/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.pwc.fr/)
23:37:14	988424/988424	------	200	untouched ('OK')	application/x-javascript	etag:%228a1f2c45183af9e5c2d3183e174d6d04:1688116880.323204%22	http://assets.adobedtm.com/94ed34440bb5/527900b2ae4b/launch-519328edb4b5.min.js	C:/Mes%20Sites%20Web/pw/assets.adobedtm.com/94ed34440bb5/527900b2ae4b/launch-519328edb4b5.min.js	(from https://www.pwc.fr/)
23:37:15	3420/3420	------	200	untouched ('')	application/javascript	etag:%22d5c-5ff6788835cc2-gzip%22	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/components-analytics.min.a3ab2d7ea94e61324e5ec082386b52cd.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/components-analytics.min.a3ab2d7ea94e61324e5ec082386b52cd.js	(from https://www.pwc.fr/)
23:37:15	80368/80368	------	200	untouched ('')	application/javascript	etag:%22139f0-5ff681705c2d8-gzip%22	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/handlebars.min.25dbbd6993a041605ec4deaec873a530.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/handlebars.min.25dbbd6993a041605ec4deaec873a530.js	(from https://www.pwc.fr/)
23:37:15	20239/20239	------	200	untouched ('')	application/javascript	etag:%224f0f-5ff67b3964de7-gzip%22	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/purify.min.3379e6726488550db7a6c54c0dcfda3c.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/purify.min.3379e6726488550db7a6c54c0dcfda3c.js	(from https://www.pwc.fr/)
23:37:15	150321/150321	------	200	untouched ('OK')	text/css	etag:%2224b31-5ff67592de9ec-gzip%22	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/longform/style-colors-rebrand.min.1ba72a15ee11df4c7a7e0ec1d1ae802e.css	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/longform/style-colors-rebrand.min.1ba72a15ee11df4c7a7e0ec1d1ae802e.css	(from https://www.pwc.fr/)
23:37:15	940476/940476	------	200	untouched ('OK')	text/css	etag:%22e59bc-5ff6759048c02-gzip%22	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/rebrand-clientlibs/components-colors.min.9a202ee05c2b67cbd5da2c3c255800b1.css	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/rebrand-clientlibs/components-colors.min.9a202ee05c2b67cbd5da2c3c255800b1.css	(from https://www.pwc.fr/)
23:37:15	156/156	------	307	error ('')	text/html		https://www.pwc.fr/fr/ghost/lets-go-france.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/ghost/lets-go-france.56.delayed	(from https://www.pwc.fr/)
23:37:15	128483/128483	------	200	untouched ('OK')	text/html	date:Sat,%2001%20Jul%202023%2022:07:56%20GMT	https://www.pwc.fr/fr	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr.html	(from https://www.pwc.fr/)
23:37:15	613/613	------	200	untouched ('OK')	image/svg+xml	date:Sat,%2027%20Aug%202022%2001:42:34%20GMT	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/rebrand-clientlibs/components-colors/resources/images/slim-header-v2/search-icon.svg	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/rebrand-clientlibs/components-colors/resources/images/slim-header-v2/search-icon.svg	(from https://www.pwc.fr/)
23:37:15	157636/157636	------	200	untouched ('OK')	text/html	etag:W/%229e23-5ff734165ee62-gzip%22	https://www.pwc.fr/fr/expertises/conseil/technology/pwc-store.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/expertises/conseil/technology/pwc-store.html	(from https://www.pwc.fr/)
23:37:15	969/969	------	200	untouched ('OK')	image/svg+xml	date:Sat,%2020%20Feb%202021%2003:27:30%20GMT	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/rebrand-clientlibs/components-colors/resources/images/slim-header-v2/Chevron.svg	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/rebrand-clientlibs/components-colors/resources/images/slim-header-v2/Chevron.svg	(from https://www.pwc.fr/)
23:37:15	2128/2128	------	200	untouched ('OK')	image/svg+xml	date:Sat,%2020%20Feb%202021%2003:27:30%20GMT	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/rebrand-clientlibs/components-colors/resources/images/slim-header-v2/close-icon-white.svg	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/rebrand-clientlibs/components-colors/resources/images/slim-header-v2/close-icon-white.svg	(from https://www.pwc.fr/)
23:37:15	150362/150362	------	200	untouched ('OK')	text/html	etag:W/%228c03-5ff6a4ac226e3-gzip%22	https://www.pwc.fr/fr/vos-enjeux.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux.html	(from https://www.pwc.fr/)
23:37:15	177172/177172	------	200	untouched ('OK')	text/html	etag:W/%22ad43-5ff676373c492%22	https://www.pwc.fr/fr/vos-enjeux/transition-ecologique-et-societale.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux/transition-ecologique-et-societale.html	(from https://www.pwc.fr/)
23:37:15	175796/175796	------	200	untouched ('OK')	text/html	etag:W/%22b508-5ff742acd5443-gzip%22	https://www.pwc.fr/fr/vos-enjeux/technologie-et-performance.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux/technologie-et-performance.html	(from https://www.pwc.fr/)
23:37:15	179951/179951	------	200	untouched ('OK')	text/html	etag:%22b5d0-5ff735f26655d-gzip%22	https://www.pwc.fr/fr/vos-enjeux/culture-et-responsabilite-entreprise.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux/culture-et-responsabilite-entreprise.html	(from https://www.pwc.fr/)
23:37:15	174256/174256	------	200	untouched ('OK')	text/html	etag:W/%22b18b-5ff6d6b9285cf-gzip%22	https://www.pwc.fr/fr/vos-enjeux/transparence-et-maitrise-des-risques.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux/transparence-et-maitrise-des-risques.html	(from https://www.pwc.fr/)
23:37:15	173509/173509	------	200	untouched ('OK')	text/html	etag:W/%22aa2d-5ff6f3903de41-gzip%22	https://www.pwc.fr/fr/vos-enjeux/strategies-de-croissance.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux/strategies-de-croissance.html	(from https://www.pwc.fr/)
23:37:15	171388/171388	------	200	untouched ('OK')	text/html	etag:W/%22ae89-5ff742b42135e-gzip%22	https://www.pwc.fr/fr/vos-enjeux/transformation-des-business-models.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux/transformation-des-business-models.html	(from https://www.pwc.fr/)
23:37:15	169577/169577	------	200	untouched ('OK')	text/html	etag:W/%22bc58-5ff6ef315bc22-gzip%22	https://www.pwc.fr/fr/vos-enjeux/les-entreprises-eti.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux/les-entreprises-eti.html	(from https://www.pwc.fr/)
23:37:15	161514/161514	------	200	untouched ('OK')	text/html	etag:W/%22adc2-5ff685309d90d-gzip%22	https://www.pwc.fr/fr/vos-enjeux/startups-and-innovation.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/vos-enjeux/startups-and-innovation.html	(from https://www.pwc.fr/)
23:37:15	141077/141077	------	200	untouched ('OK')	text/html	etag:W/%225456-5ff742b84905c-gzip%22	https://www.pwc.fr/fr/actualites.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/actualites.html	(from https://www.pwc.fr/)
23:37:15	14470/14470	------	200	untouched ('')	image/jpeg	etag:W/%223886-5f06d503d69c9%22	https://www.pwc.com/gx/en/brand-simplified/teaser-images-670/governance/damil-gettyimages-565975441-670.jpg.pwcimage.150.100.jpg	C:/Mes%20Sites%20Web/pw/www.pwc.com/gx/en/brand-simplified/teaser-images-670/governance/damil-gettyimages-565975441-670.jpg.pwcimage.150.100.jpg	(from https://www.pwc.fr/)
23:37:15	158105/158105	------	200	untouched ('OK')	text/html	etag:W/%226d86-5ff742bb49076-gzip%22	https://www.pwc.fr/fr/industries.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/industries.html	(from https://www.pwc.fr/)
23:37:15	175480/175480	------	200	untouched ('OK')	text/html	etag:W/%22a3f0-5ff69cdee1b95-gzip%22	https://www.pwc.fr/fr/industries/aeronautique-defense-spatial.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/industries/aeronautique-defense-spatial.html	(from https://www.pwc.fr/)
23:37:15	183634/183634	------	200	untouched ('OK')	text/html	etag:W/%22925b-5ff737d08ec84-gzip%22	https://www.pwc.fr/fr/industries/assurance.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/industries/assurance.html	(from https://www.pwc.fr/)
23:37:15	177308/177308	------	200	untouched ('OK')	text/html	etag:W/%2284e5-5ff742c0aa016-gzip%22	https://www.pwc.fr/fr/industries/automobile.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/fr/industries/automobile.html	(from https://www.pwc.fr/)
