date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:39	2464/2464	---M-Z	200	added ('OK')	text/plain	date:Wed,%2029%20Mar%202023%2006:23:51%20GMT	https://www.pwc.fr/robots.txt		(from )
22:07:39	128472/128472	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202023%2022:07:38%20GMT	https://www.pwc.fr/	C:/Mes%20Sites%20Web/pw/www.pwc.fr/index.html	(from )
22:07:39	1406/1406	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sat,%2022%20Aug%202020%2003:59:49%20GMT	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/css_common/resources/image/favicon.ico	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/css_common/resources/image/favicon.ico	(from https://www.pwc.fr/)
22:07:40	113763/113763	---M-Z	200	added ('OK')	application/javascript	etag:%221bc63-5ff6758dbe39e-gzip%22	https://www.pwc.fr/etc.clientlibs/clientlibs/granite/jquery.min.f65891607efbe75b84a8031849cec6c7.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/clientlibs/granite/jquery.min.f65891607efbe75b84a8031849cec6c7.js	(from https://www.pwc.fr/)
22:07:40	9901/9901	---M-Z	200	added ('OK')	application/javascript	etag:%2226ad-5ff675826fc41-gzip%22	https://www.pwc.fr/etc.clientlibs/clientlibs/granite/utils.min.308082b4c347f4fec37ffef277d39d0e.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/clientlibs/granite/utils.min.308082b4c347f4fec37ffef277d39d0e.js	(from https://www.pwc.fr/)
22:07:40	3984/3984	---M-Z	200	added ('OK')	application/javascript	etag:%22f90-5ff67593de5a8-gzip%22	https://www.pwc.fr/etc.clientlibs/clientlibs/granite/jquery/granite.min.d9075d4175ab7b0e3ccf4305a4089645.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/clientlibs/granite/jquery/granite.min.d9075d4175ab7b0e3ccf4305a4089645.js	(from https://www.pwc.fr/)
22:07:41	16/16	---M--	200	added ('OK')	application/javascript	etag:%2210-5ff67592068f3%22	https://www.pwc.fr/etc.clientlibs/foundation/clientlibs/jquery.min.dd9b395c741ce2784096e26619e14910.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/foundation/clientlibs/jquery.min.dd9b395c741ce2784096e26619e14910.js	(from https://www.pwc.fr/)
22:07:41	2808/2808	---M-Z	200	added ('OK')	application/javascript	etag:%22af8-5ff67593eef49-gzip%22	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/components-digitaldataanalytics.min.594e86bc3088dca581ea8df9b0eafa46.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/components-digitaldataanalytics.min.594e86bc3088dca581ea8df9b0eafa46.js	(from https://www.pwc.fr/)
22:07:41	622/622	---M--	200	added ('OK')	image/png	etag:W/%22313-5ff6757e977b7%22	https://www.pwc.fr/content/pwc/script/network/apple-touch-icon.png	C:/Mes%20Sites%20Web/pw/www.pwc.fr/content/pwc/script/network/apple-touch-icon.png	(from https://www.pwc.fr/)
22:07:43	8748/8748	---M-Z	404	error ('Not%20Found')	text/html	etag:%220e1be9b5331c1b6167bf6b00e0b35c38:1686234374.28745%22	https://www.pwc.fr/content/pwc/fr/fr.html	C:/Mes%20Sites%20Web/pw/www.pwc.fr/content/pwc/fr/fr.html	(from https://www.pwc.fr/)
22:07:43	24190/24190	---M-Z	200	added ('OK')	application/javascript	etag:%225e7e-5ff678c6bb5a7-gzip%22	https://www.pwc.fr/etc.clientlibs/foundation/clientlibs/shared.min.d8eee0685f08a5253a1d753a2619a08f.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/foundation/clientlibs/shared.min.d8eee0685f08a5253a1d753a2619a08f.js	(from https://www.pwc.fr/)
22:07:43	21565/21565	---M-Z	200	added ('OK')	application/javascript	etag:0x8DB78D6F96BC8B6	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Mes%20Sites%20Web/pw/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.pwc.fr/)
22:07:52	988424/988424	---MCZ	200	added ('OK')	application/x-javascript	etag:%228a1f2c45183af9e5c2d3183e174d6d04:1688116880.323204%22	http://assets.adobedtm.com/94ed34440bb5/527900b2ae4b/launch-519328edb4b5.min.js	C:/Mes%20Sites%20Web/pw/assets.adobedtm.com/94ed34440bb5/527900b2ae4b/launch-519328edb4b5.min.js	(from https://www.pwc.fr/)
22:07:53	3420/3420	---M-Z	200	added ('OK')	application/javascript	etag:%22d5c-5ff6788835cc2-gzip%22	https://www.pwc.fr/etc.clientlibs/pwc/clientlibs/components-analytics.min.a3ab2d7ea94e61324e5ec082386b52cd.js	C:/Mes%20Sites%20Web/pw/www.pwc.fr/etc.clientlibs/pwc/clientlibs/components-analytics.min.a3ab2d7ea94e61324e5ec082386b52cd.js	(from https://www.pwc.fr/)
